Intensitas,Jumlah Piksel
0,436
1,1410
2,1967
3,2356
4,2734
5,3242
6,3739
7,3996
8,4753
9,5484
10,8118
11,9795
12,7830
13,9582
14,10436
15,8560
16,14373
17,12489
18,10892
19,13721
20,13382
21,12687
22,17157
23,15575
24,13039
25,16950
26,15578
27,14128
28,15771
29,15749
30,14512
31,17943
32,17181
33,19984
34,28736
35,24279
36,22031
37,28425
38,28475
39,23844
40,26859
41,25891
42,22052
43,23389
44,24543
45,25292
46,28611
47,22601
48,18369
49,18973
50,13843
51,14097
52,12959
53,11452
54,11069
55,9998
56,9100
57,8258
58,8327
59,7810
60,7177
61,6984
62,6923
63,6792
64,6536
65,6712
66,6627
67,6563
68,6497
69,6495
70,6315
71,6444
72,6400
73,6472
74,6478
75,6280
76,6366
77,6179
78,6134
79,6131
80,6023
81,6002
82,6017
83,5936
84,5941
85,5937
86,5951
87,5815
88,5886
89,5789
90,5918
91,5783
92,5952
93,5944
94,5934
95,6065
96,6208
97,6207
98,5997
99,6418
100,6325
101,6359
102,6406
103,6420
104,6559
105,6727
106,6752
107,6709
108,6861
109,7168
110,7361
111,7305
112,7398
113,7540
114,7652
115,7763
116,8096
117,8111
118,8395
119,8758
120,8732
121,8752
122,8901
123,8951
124,9101
125,8762
126,8694
127,8679
128,8454
129,8185
130,8188
131,8109
132,8017
133,7688
134,7702
135,7472
136,7601
137,7366
138,7254
139,7146
140,7036
141,7045
142,6942
143,6593
144,6568
145,6422
146,6393
147,6148
148,5984
149,5818
150,5727
151,5623
152,5430
153,5287
154,5237
155,5180
156,5107
157,4932
158,4719
159,4788
160,4626
161,4497
162,4408
163,4274
164,4190
165,4049
166,3906
167,3861
168,3708
169,3576
170,3433
171,3414
172,3426
173,3257
174,3165
175,3040
176,3067
177,2983
178,2953
179,2828
180,2889
181,2816
182,2732
183,2732
184,2774
185,2602
186,2680
187,2635
188,2619
189,2638
190,2671
191,2673
192,2626
193,2581
194,2670
195,2578
196,2636
197,2631
198,2674
199,2619
200,2637
201,2666
202,2585
203,2529
204,2479
205,2543
206,2512
207,2490
208,2478
209,2464
210,2358
211,2344
212,2384
213,2347
214,2226
215,2197
216,2161
217,2170
218,2032
219,2063
220,2096
221,1948
222,2009
223,1965
224,1962
225,1953
226,1963
227,1888
228,1952
229,1871
230,1800
231,1832
232,1816
233,1782
234,1835
235,1745
236,1654
237,1793
238,1724
239,1710
240,1740
241,1675
242,1676
243,1647
244,1671
245,1651
246,1698
247,1565
248,1663
249,1739
250,1817
251,2041
252,2523
253,2481
254,816
255,39
